ID_CLIENT,SITE,ADS_DATE,SALE_TYPE,LAND_TYPE,SQUARE,FULL_ADDRESS,STREET,WARD,DISTRICT,CITY,UTILITIES,PRICE,UNIT_PRICE,V_UNIT_PRICE,UNIT_SQUARE
3100m2,batdongsan,2017-03-29,Thuê,Kho Xưởng,3100.0,"Cầu Diễn, Cầu Diễn, Nam Từ Liêm, Hà Nội",Cầu Diễn,Cầu Diễn,Nam Từ Liêm,Hà Nội,,75.0,nghìn/m2,0.075,M2
p168912,batdongsan,2018-04-02,Thuê,Văn Phòng,175.0,"Trần Đăng Ninh, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Trần Đăng Ninh,Dịch Vọng Hậu,Cầu Giấy,Hà Nội,,125.0,nghìn/m2,0.125,M2
p168937,batdongsan,2018-04-02,Thuê,Văn Phòng,100.0,"Tố Hữu, Mỗ Lao, Hà Đông, Hà Nội",Tố Hữu,Mỗ Lao,Hà Đông,Hà Nội,,238.0,nghìn/m2,0.238,M2
p169173,batdongsan,2018-04-03,Thuê,Nhà Phố,300.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p169535,batdongsan,2018-04-04,Thuê,Kho Xưởng,171.0,"70, Văn Điển, Thanh Trì, Hà Nội",70,Văn Điển,Thanh Trì,Hà Nội,,75.0,nghìn/m2,0.075,M2
p169638,batdongsan,2018-04-04,Thuê,Văn Phòng,100.0,"Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội",Nguyễn Khuyến,Văn Miếu,Đống Đa,Hà Nội,,230.0,nghìn/m2,0.23,M2
p169909,batdongsan,2018-04-04,Thuê,Kho Xưởng,4005.0,"Yên Dũng, Bắc Giang",,,Yên Dũng,Bắc Giang,,45.0,nghìn/m2,0.045,M2
p170257,batdongsan,2018-04-05,Thuê,Kho Xưởng,500.0,"Dĩ An, Dĩ An, Bình Dương",,Dĩ An,Dĩ An,Bình Dương,"Hệ thống an ninh , Nhân viên bảo vệ",70.0,nghìn/m2,0.07,M2
p170506,batdongsan,2018-04-06,Thuê,Kho Xưởng,500.0,"Dĩ An, Dĩ An, Bình Dương",,Dĩ An,Dĩ An,Bình Dương,,70.0,nghìn/m2,0.07,M2
p170528,batdongsan,2018-04-06,Thuê,Kho Xưởng,500.0,"Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",,Thạnh Mỹ Lợi,Quận 2,TP. Hồ Chí Minh,,70.0,nghìn/m2,0.07,M2
p170590,batdongsan,2018-04-06,Thuê,Văn Phòng,300.0,"Tây Sơn, Ngã Tư Sở, Đống Đa, Hà Nội",Tây Sơn,Ngã Tư Sở,Đống Đa,Hà Nội,,250.0,nghìn/m2,0.25,M2
p170732,batdongsan,2018-04-06,Thuê,Kho Xưởng,1005.0,"Việt Trì, Phú Thọ",,,Việt Trì,Phú Thọ,,30.0,nghìn/m2,0.03,M2
p171509,batdongsan,2018-04-09,Thuê,Kho Xưởng,1110.0,"Phúc Thọ, Hà Nội",,,Phúc Thọ,Hà Nội,,40.0,nghìn/m2,0.04,M2
p172227,batdongsan,2018-04-11,Thuê,Kho Xưởng,100.0,"Dĩ An, Dĩ An, Bình Dương",,Dĩ An,Dĩ An,Bình Dương,,65.0,nghìn/m2,0.065,M2
p172492,batdongsan,2018-04-11,Thuê,Kho Xưởng,20000.0,"Quốc lộ 1A, Long Bình Tân, Biên Hòa, Đồng Nai",Quốc lộ 1A,Long Bình Tân,Biên Hòa,Đồng Nai,,45.0,nghìn/m2,0.045,M2
p172517,batdongsan,2018-04-11,Thuê,Kho Xưởng,10015.0,"Quốc Oai, Hà Nội",,,Quốc Oai,Hà Nội,,80.0,nghìn/m2,0.08,M2
p172655,batdongsan,2018-04-12,Thuê,Kho Xưởng,200.0,"Dĩ An, Dĩ An, Bình Dương",,Dĩ An,Dĩ An,Bình Dương,,65.0,nghìn/m2,0.065,M2
p172700,batdongsan,2018-04-12,Bán,Chung Cư,91.0,"Ngọc Hồi, Hoàng Liệt, Hoàng Mai, Hà Nội",Ngọc Hồi,Hoàng Liệt,Hoàng Mai,Hà Nội,,14.0,triệu/m2,14.0,M2
p172705,batdongsan,2018-04-12,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p172947,batdongsan,2018-04-12,Thuê,Kho Xưởng,1005.0,"Phúc Thọ, Hà Nội",,,Phúc Thọ,Hà Nội,,40.0,nghìn/m2,0.04,M2
p173402,batdongsan,2018-04-13,Thuê,Kho Xưởng,1005.0,"Bình Xuyên, Vĩnh Phúc",,,Bình Xuyên,Vĩnh Phúc,,35.0,nghìn/m2,0.035,M2
p173707,batdongsan,2018-04-14,Thuê,Văn Phòng,270.0,"Hòa Thuận Tây, Hải Châu, Đà Nẵng",,Hòa Thuận Tây,Hải Châu,Đà Nẵng,"Chỗ để xe máy , Chỗ để ôtô , Hệ thống an ninh , Nhân viên bảo vệ , Internet",318.181,nghìn/m2,0.318181,M2
p174025,batdongsan,2018-04-16,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p174104,batdongsan,2018-04-16,Thuê,Kho Xưởng,1015.0,"Đạo Đức, Bình Xuyên, Vĩnh Phúc",,Đạo Đức,Bình Xuyên,Vĩnh Phúc,,35.0,nghìn/m2,0.035,M2
p174280,batdongsan,2018-04-16,Thuê,Văn Phòng,45.0,"Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội",Nguyễn Khuyến,Văn Miếu,Đống Đa,Hà Nội,,225.0,nghìn/m2,0.225,M2
p174284,batdongsan,2018-04-16,Thuê,Văn Phòng,60.0,"Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội",Nguyễn Khuyến,Văn Miếu,Đống Đa,Hà Nội,,225.0,nghìn/m2,0.225,M2
